link;x;y;drtVehicles
-879059806;793972.175;5828317.890000001;1
-367277636#1;796193.925;5825445.255;1
-32139375#0;800800.31;5823159.045;1
-1056615867#0;791602.535;5826466.535;1
455958129;798999.675;5826585.115;1
4710474;797308.095;5822962.875;1
-1102675580#0;795322.2150000001;5824969.67;1
-53542202#0;796589.745;5830122.890000001;2
4741948#0;800475.71;5827108.845000001;2
-53542202#1;796457.875;5830102.955;1
-19064220#4;801417.08;5825797.205;1
-268561900;802481.9550000001;5826419.609999999;7
-4612410#0;798923.5349999999;5826948.97;2
-19064220#3;801311.54;5825862.619999999;1
-849565607;801534.485;5825249.33;2
461526150;796377.5549999999;5828578.43;1
187111590#0;799589.115;5828314.055;1
-1119479734;801725.7949999999;5827038.595000001;1
-9188880#1;801488.42;5824413.27;1
-403736227#1;791903.865;5827136.125;1
-840566796;801339.785;5823725.675;1
416859130;800423.375;5824300.4;1
-74868383;796300.09;5829077.6899999995;2
291696980#0;796886.49;5828877.720000001;1
-203910789#6;794288.605;5828852.380000001;1
-203910789#3;793853.12;5828893.09;1
-203910789#7;794384.54;5828843.455;1
-881927662#0;802729.315;5827890.65;2
-1101403588#1;801807.55;5829078.0600000005;2
-50481674#3;793436.705;5827460.015000001;2
-335462874#2;797351.7;5827380.21;2
312654701#1;798917.54;5829020.39;1
4615466;800277.185;5828430.93;1
-50481674#0;793538.905;5827708.695;2
-4491645#2;792957.01;5826704.86;1
-4612416;799297.69;5826994.175;1
-879462302;798071.9;5826348.109999999;2
-13232333;801346.1599999999;5825333.8149999995;1
186216342#3;801008.3200000001;5823766.135;1
186216342#2;800834.69;5823716.195;2
-84960597;798646.745;5828485.390000001;1
186216342#1;800737.03;5823687.535;1
-4588079#0;798394.47;5824233.505;3
-4588079#1;798627.3;5824234.54;8
-816236485#0;800750.385;5823101.365;1
-4612412;798831.3999999999;5826889.145;1
-1112121581;792558.855;5825529.015;2
-730191117;795471.0700000001;5826650.65;4
1101406282#1;795016.85;5824327.945;1
351704742#0;800957.075;5828538.325;4
-1107180847;796124.245;5825117.24;2
-465740608;795993.375;5825609.805;1
-31416317;796993.0700000001;5826057.885;1
166260139;796523.89;5827068.77;2
-448298620;793751.9450000001;5829231.23;2
37995742#0;796293.04;5828787.695;1
-1107180849;796219.01;5824452.07;4
-155594986;801816.115;5822811.82;1
360541595#0;801776.87;5826785.5600000005;1
-169660686#0;797509.9550000001;5828072.85;1
-4492445;793850.005;5824231.275;5
-4492015#2;793783.12;5825664.1;6
337540124;794793.1;5827111.995;1
-4612427;799563.86;5827305.415;2
-4612429;798805.86;5827029.32;1
-1072645816;801378.37;5826762.77;4
-720197826;796383.075;5826732.52;1
-495949632#0;800604.56;5823834.654999999;1
-42732336#3;797309.02;5829690.295;2
539116564#0;797813.76;5824873.23;1
1119936840#0;797468.01;5827571.92;1
67718316#0;796929.03;5826716.3149999995;1
764644570#1;800738.905;5823432.205;2
-80366517#2;796186.59;5825795.625;4
-4494994#2;801238.24;5825274.155;1
-65707578#2;801652.065;5823513.84;2
31621016;792178.165;5827130.225;1
-168917748#1;795658.735;5824974.085;1
-4583392;794729.8300000001;5825019.4350000005;1
-23813206;799049.355;5828304.855;1
-155605364;801834.125;5823413.425000001;2
-155594979;801376.81;5822873.925;1
-1101407448#1;794760.875;5828905.55;3
-4686033#0;801976.91;5825625.855;3
-4436795;793032.375;5824519.15;1
102486222;796751.565;5826145.5;1
152264786#0;795940.0149999999;5823112.035;1
-25388818#2;796761.73;5830226.404999999;2
251884680;798298.49;5827690.9399999995;1
23851927;799039.89;5827576.74;1
-54781811;798397.6499999999;5827565.82;1
-23735660;796513.6599999999;5829230.744999999;8
-75909822#0;800487.0449999999;5824668.325;1
-172922876;797365.76;5829972.58;1
